text,label,predicted_label
オペレーター: 例えば蟹ってお好きですか？ [SEP] カスタマー: エビも蟹も、はい。,0,1
オペレーター:はい。じゃ、こちら、なかむらさんは、じゃ、ちょっと外しておきますね、じゃあ。 [SEP] カスタマー:あ、はい、すいません。,1,0
オペレーター:はい。 [SEP] カスタマー:だったら煮込みとか、あったほうがいいですもんね、はい。,1,0
オペレーター: かしこまりました、では何名様でのご旅行となりますか？ [SEP] カスタマー: あ、4名となります。,0,1
オペレーター:あ、なんかとんかつ専門店とかもありますね。 [SEP] カスタマー:あ、じゃあそっちでちょっと、はい。,1,0
オペレーター: ちょっとお店の写真はないのでなんとも言えないんですけど、まぁ七輪囲んでわいわい楽しめるなので、まもしかしたらみんなでこうカウンターで、まぁわいわいできる。 [SEP] カスタマー: なるほどなるほど、へー、その北えびすですか？ここはなんか特色みたいなのはあるんですか？,0,1
オペレーター:あ、そうなんですね。 [SEP] カスタマー:沖縄の、あ、はい。,1,0
オペレーター:あっ全身がいいです。 [SEP] カスタマー:あっ全身がいいです。,1,0
オペレーター: ちょっと、どんなのがいいですかね。 [SEP] カスタマー: なんか北海道らしいみたいなのってありました？,0,1
オペレーター: はい、では、お客様そろそろお腹が空いてくるお時間かと思うんですけれども、ええ、お食事の方いかがいたしましょうか？ [SEP] カスタマー: 食事ついてますか？,0,1
オペレーター:なんかこう、あんまりこう、大きな、お店というよりはちょっとこう…、地元～、の人が行くようなちょっと小さめのー…、店が良いという<>。 [SEP] カスタマー:はい。あのー、観光客とかが、で密集してないー。,1,0
オペレーター:締めのような感じでー、いへっへっ、ご談義の後、ちょうど、楽しいかなー、という風に思いました。 [SEP] カスタマー:良いです、良いですねー、ええ、ええ、ええ。,1,0
オペレーター: いえいえいえ。 [SEP] カスタマー: はい、えーっとそうですね、あ、お客様結構お酒とかも飲まれる感じ…ですかね？,0,1
オペレーター:ではこちら平田観光と言いますので、こちらをリストに加えておきますね。 [SEP] カスタマー:はい。,1,0
オペレーター:はい、そちらもご案内いたしましょうか？ [SEP] カスタマー:あ、はい、お願いします。,1,0
オペレーター: ああ、ええ、ええ。 [SEP] カスタマー: そういうのが、なんか、こう、たくさん集まっているようなお店ってありますか？,0,1
オペレーター:はい、かしこまりました。ご家族様4人で北海道旅行ですね。 [SEP] カスタマー:はい。,1,0
オペレーター: 奇岩。 [SEP] カスタマー: ひがんね、ひがんて。,0,1
オペレーター:あと、なんか一応さっき仰られてたんですけど、動物園はいくつかありまして、んっとーカピバラとか見たければカピバラがいる動物園があるんですけど。 [SEP] カスタマー:行くんだったらね。,1,0
オペレーター:ずんだのお餅とかのがいいですかね。 [SEP] カスタマー:ふっ、いいです。,1,0
オペレーター: ええ、ええ。 [SEP] カスタマー: あ、良いですね、フルーツ狩り。,0,1
オペレーター:神奈川県ですと、あのー、神奈川県だと、美術館とかが多いんですけれども。 [SEP] カスタマー:あ、いいですね、美術館。,1,0
オペレーター: 卓球もあるかもしれないですね。 [SEP] カスタマー: え、でも器具とか無い…かな。無い、無いとは思うんだけど。,0,1
オペレーター:はい、どうでしょう、もう何件かご紹介したほうがよろしいでしょうか？ [SEP] カスタマー:そう、じゃあもう一件ぐらい、はい。,1,0
オペレーター:ではー、えー、早速なんですけども、えー、行先…、えー決まってれば、まず、教えてい…、ください。 [SEP] カスタマー:沖縄…県ですね。,1,0
オペレーター:では、こちらも行先に入れておきますか。 [SEP] カスタマー:はい。,1,0
オペレーター:あ、良かった、そうしますと、ゴーヤチャンプルも食べれるしー、島豆腐も食べれるしー、もとぶ牛も食べれるしー、アグー豚も食べれるしー、やんばる若鶏も食べれ、たぶん全部は食べれないですけれども、ええ、そうですよねー<>。 [SEP] カスタマー:あっはっは、ちょっと食べきれるか分からないけど、でもこのお店いいですね。,1,0
オペレーター: お買い物で。 [SEP] カスタマー: 行きます。,0,1
オペレーター:あらー。 [SEP] カスタマー:お酒飲めないんだけども、お米…あー。,1,0
オペレーター: 全然飲まなくても楽しめると思うんで。 [SEP] カスタマー: まあメニューとしてあるんだったら<>,0,1
オペレーター: えーと、では、ちょっと今、あのー、検索させていただきますが、のんびりっていうと、ま、こ、何か温泉入ったりとかっていう、何かありますか。 [SEP] カスタマー: あー、そうですね。それもいいです。そうですねー。なんか。,0,1
オペレーター: えっと、あ、そうですね。ちょっとじゃああの、お子様向けでもう一度検索してみますね。 [SEP] カスタマー: あんまり大人っぽすぎる雰囲気だとちょっと浮いちゃうかなと思って。,0,1
オペレーター: はい。今お調べします。 [SEP] カスタマー: え、なんか美味しいのあるんですか？,0,1
オペレーター: そういった灯台とかって興味あります？ [SEP] カスタマー: そうですねー、灯台の中とかって入れるんですか？,0,1
オペレーター: はい。 [SEP] カスタマー: なんか、あのー、アスレチックみたいな、子どもが遊ぶものもありますか。,0,1
オペレーター:はい、じゃあこちらチェック入れておきますね。 [SEP] カスタマー:お願いしまーす。,1,0
オペレーター:ちょっと、でも、お洋服見るって感じじゃないですね。 [SEP] カスタマー:そうですね。ヘヘ。うんうん。観光だから。うん。,1,0
オペレーター: えーっといかがなさいーますかねもうちょっと…、お料理～…、一応探してみますか他のお店とかー。 [SEP] カスタマー: お、お庭とー、お寺～のあとー…、がー。,0,1
オペレーター:はーい。じゃ、こちらも1つ、候補の1つとして、はい。 [SEP] カスタマー:お願いします。,1,0
オペレーター:ではあのジョイナス森の、えー彫刻公園をあのチェックしておきますね。 [SEP] カスタマー:はい、お願いしまーす。,1,0
オペレーター: あります？ [SEP] カスタマー: うーん、まあそんなに他にこう見るものがなければ。,0,1
オペレーター: 色ってお分かりになりますか？ [SEP] カスタマー: なんかね、紫な感じですかね。,0,1
オペレーター: ええ。 [SEP] カスタマー: ひとつぐらいなんか聞いておきたいなって気持ちもするんですけど。,0,1
オペレーター:はい [SEP] カスタマー:ただー、えっとー,1,0
オペレーター: こういったところはご興味ございますか？ [SEP] カスタマー: はい、海鮮料理大好きなのでぜひお刺身おいしいのが食べたいです。,0,1
オペレーター: はい、ちなみに確認なんですが、えー、ご旅行って週末でしょうか、平日に行かれるか、どち、どちらかってもうお決まりですか？ [SEP] カスタマー: いや、まだ決まってないんですが、どっちでもいいかなと思ってます。,0,1
オペレーター:はい、じゃ、あのこちらも、はい、あの、候補の1つとして、はい、押さえておきますね。 [SEP] カスタマー:お願いします。,1,0
オペレーター: あと、えーとね、あのー、ポッキーとか、あのー、そのほんとグリコのお菓子がいっぱい置いてありまして。 [SEP] カスタマー: あ、行きたいです、そこ、フフフ。,0,1
オペレーター: ええ、ええ。はい。はい。はい、はい。 [SEP] カスタマー: で、えっと、山程あると思うんですけれども、そうですね、うーん、あの、まあ冬でもえっと参拝できるような。,0,1
オペレーター: わかま、わか、うん。 [SEP] カスタマー: あの、あ、うん、若松は福島なんだけど。,0,1
オペレーター:あるいは実際にこう、海の近くに行って何か景色を見るような場所、どちらがよろしいですか？ [SEP] カスタマー:あ、山がいいですね。,1,0
