operator_utterance,spot_requirement_utterance
オペレーター: ではですね、お客様、他にも何かご覧になったり、あるいはお食事のほうお考えになりますか？いかがでしょうか。,カスタマー: 沖縄なので、やはり沖縄料理がすごい気になっています。
オペレーター: ええ、,カスタマー: ので、そういった沖縄料理を
オペレーター: というような流れも考えられるかと思います。,カスタマー: そうですね、という意味であれば、昼に海側に行っ。昼に森側に行って夜に海側に行くほうでお願いしたいです。
オペレーター: はい。少々お待ち下さいませ。では夜は料理のジャンルはいかがでしょうか。どういったものでもよろしいですか？,カスタマー: 魚、刺し身とかが、魚料理をメインで食べられる場所がいいですね。
オペレーター: ですので、お客様のご希望教えていただければと思います。,カスタマー: 会社の職場と、あと親戚に持って帰るお土産を選びたいので。
オペレーター: ええ、,カスタマー: 食べられるもので、比較的リーズナブルなものがいいです。
オペレーター: ではお客様、他に何かご覧にならなくて大丈夫ですか？まだ滝一箇所しか訪問していないんですけれども。,カスタマー: そうですね。やっぱり沖縄だと魚、食べるのも有名なんですけれども。
オペレーター: ええ、,カスタマー: なんか見るほうも発掘したいなと思ってるんですけども。
オペレーター: そうですよね。,カスタマー: どこかそういうスポットがあれば紹介していただきたいです。
オペレーター: いかがでしょうか？どちらかお選びになりますか？,カスタマー: 私個人もちょっとび、ジンベエザメは見てみたいので。
オペレーター: お客様、どのようなご旅行をご希望でしょうか？,カスタマー: アバウトなんですけど、綺麗な景色を見にいきたいなーと、思ってます。
オペレーター: お客様、ご同行者様は、何名になりますか？,カスタマー: んじゃ、彼女と二人で、行こうと思い<>。
オペレーター: 例えば綺麗なお花を見たいですとか、景色を、空気を見たいですとか、ご要望はございますか？,カスタマー: 特に決めてはいないんですけど、なん、何大景色とか、あるじゃないですか？日本の。その中の、どれか。良さそうな所に行けたらな―、と思ってます。
オペレーター: あと、行かれる時期はいつ頃の予定でしょうか？,カスタマー: そうですね、過ごしやすい時期がいいので、春か秋ー頃、で考えてます。
オペレーター: 例えばなんですけれども、具体的にですね、東日本側がいいですとか、南側がいいですとか、具体的なご要望があると、よろしいんですけれども、,カスタマー: できたら西ー、の方がいいです。
オペレーター: お客様の方でー、何か見てみたいですとか、食べてみたいですとか、そういったご要望は、ございますか？,カスタマー: 今三重、近畿、中国地方だったんで、きゅ、九州で。
オペレーター: 九州で。,カスタマー: 桜が綺麗な所を、
オペレーター: そしたらですねー、鳥取の方でー、ご案内したいかと思うんですけれどもー、例えば鳥取で、何か食べたいですとかー、見て、他に、他に見てみたいものとか、そういったご要望はございますか？,カスタマー: 見てみたいもの…さっき鳥取砂丘とか、ご案内してもらったんで、多分鳥取は、それぐらいかなと思うんで、何か食べ物があれば。
オペレーター: では、本日、早速ですけども、ご旅行の、まず行き先、ご人数などですね、教えていただいてもよろしいでしょうか？,カスタマー: 今のところ北海道に妻と2人で。
オペレーター: 北海道。,カスタマー: 行きたいなあって思ってます。
オペレーター: で、そちらのほうに行って何かやりたいみたいなの。,カスタマー: できれば。
オペレーター: あれば。,カスタマー: 松山千春の実家か訪れてみたいですね。
オペレーター: アロマのお土産みたいな。,カスタマー: 広い花畑を見てみたかったなあっていう感じですかね。
オペレーター: 花畑であれば、何だろう、何でも、何でも、特に、こだわりじゃないけど、きれいであればって感じですかね？,カスタマー: できれば北海道特有のというか名産のというか、だったら、なおさらいいですけどね。
オペレーター: 行く季節。,カスタマー: 季節はー、夏がいいですかね。
オペレーター: で、庭園のほう、今ご案内させていただいたんですけど、他に何か見たいものとか、ございますか。,カスタマー: 一つには、やっぱり北海道なんで地平線が見たいのと、今のところで見れればそれでいいんですけど。それと、あと、できれば牧場、牛なんかの、広い。
オペレーター: 牧場。,カスタマー: 牧場なんかも近くにあれば見たいかなっていう感じですかね。
オペレーター: ありがとうございます、どちらへのご旅行になりますでしょうか。,カスタマー: 週末に沖縄に行くことになってー。
オペレーター: 左様でございますが、では沖縄へのご旅行でございますねー。,カスタマー: そうですー。
オペレーター: ありがとうございます、週末というのは、今度の週末とかでよろしいですか。,カスタマー: 再来週の週末なんですけどー。
オペレーター: では、再来週、冬の時期にあったご旅行先ということでよろしいでしょうか。,カスタマー: はい、はい。
オペレーター: かしこまりました、では何名様でのご旅行になりますか。,カスタマー: 一人なんですけどー。
オペレーター: お1人様でございますね。,カスタマー: はい。
オペレーター: かしこまりました、では本日承りますのがー、こちら沖縄へのご旅行で、時期が冬、一名様ということでお間違えないでしょうか。,カスタマー: そうです。
オペレーター: ありがとうございます、ではまずですね、沖縄に行ってメインでどういうことをしたいか、決めていきませんか？,カスタマー: お願いしまーす。
オペレーター: ではですね、お客様、沖縄に行って何をしたいか何かご希望ございましたら、アイデアをいただけますでしょうか。,カスタマー: 沖縄と言えば、海なんで、ビーチに水遊びじゃないですけど、ゆっくりしたいなあとか、リラックスですね、
オペレーター: ではビーチでお調べしてもよろしいでしょうか？,カスタマー: お願いしまーす。
オペレーター: かしこまりました、ではお客様、沖縄のなかでー、例えば7のような南部と、あと北部、どちらがよろしいでしょうか。,カスタマー: 沖縄よく分からなくてー、でも島行ってみたいです。
オペレーター: 都会感が強すぎますしー<>。,カスタマー: できれば離島に行ってみたいんですけどー。
オペレーター: 左様でございますか、では、那覇からはな、沖縄の本島ですね、から離れた離島がよろしいでしょうか、それとも本島からすぐに行ける離島がよろしいでしょうか。,カスタマー: 近いほうがいいですねー、あんまり移動の時間はとりたくないんでー。
オペレーター: アクセスとしても非常に便利ですしー、こちらですねえ、那覇のバスターミナルから40分となっておりますのでー、えアクセス良く、例えばですねこのビーチを楽しんだ後にほかのものを見るとかー、そういった点でもこちらの立地は非常に良いのではないかなと思ったんですけど、えいかがでしょうか。,カスタマー: そこ候補にしたいですね。
オペレーター: もっとたくさんビーチづくしで、次もビーチ、前もビーチみたいな感じで行くのとー、それかほか例えばお買い物をするとかー、何か、もちろんお食事は別途お考えいただくのが良いんですけれども、お買い物系とかー、あるいはどうでしょう、もっとビーチで行くか、別のアトラクションがいいか。,カスタマー: 話が飛んでしまうんですけどー、離島で牛がひっぱる車に乗るのってあるじゃないですか<>あれ一回乗ってみたいんですよねー。
オペレーター: 石垣島の方にも、こちら水牛が車をひっぱってー、海の中の、海岸沿いですか。,カスタマー: それがいいですねー、うーん。
オペレーター: そうですね、体力を使うような<>それにお客様冬ですと、このセグウェイ、外は寒いかもしれませんね。,カスタマー: そうですね、あんまり汗かくことはしたくないんでー。
オペレーター: ではもしよろしければ、こちらの水牛の車に乗る観光がちょうどよいかなあと思ったんですけれども<>。,カスタマー: はい、それがいいです。
オペレーター: ではこちら平田観光と言いますので、こちらをリストに加えておきますね。,カスタマー: はい。
オペレーター: ではですねー、沖縄の郷土料理でお調べしてみましょうか。,カスタマー: はい。
オペレーター: そうですよね、お客様そうなりますと、アグー豚のしゃぶしゃぶ食べても、沖縄って感じしませんかね？,カスタマー: でも好きなんでー、OKです。
オペレーター: 私共の方に映っている写真を拝見しますとー、アグー豚のしゃぶしゃぶでしたりー、あとーちょとレア感が残ったー、アグー豚のとんかつ<>そういう、お客様がよろしければ、もちろんこちらおすすめなんですけどもー、これ東京でも食べられるよって、つっこまれるときついところがございますので、もしよろしければ、ほかのところもお調べしましてー、比較していただくのが一番いいかなと思います。,カスタマー: そうですねー。
オペレーター: ではですね、ほかのジャンルもお調べしてよろしいですか。,カスタマー: お願いします。
オペレーター: 沖縄お魚って感じでもないのかなあっていう気はするんですけれどもー、,カスタマー: なんだろう、ゴーヤとかそういうもの<>
オペレーター: ゴーヤでございますか、お客様ゴーヤはお好きですか。,カスタマー: 好きですー。
オペレーター: お客様、麺類はお好きですか？,カスタマー: 好きですー。
オペレーター: こちらですねー、沖縄のソーキそばがございますねー。,カスタマー: 沖縄料理は全般的に好きなんで何が出てきてもいいです。
オペレーター: なるほど、お店のご提供の仕方としてはー、ソーキそばのところはソーキそばばっかりが多くて、そうでしたらやっぱソーキそばも食べれるしー、沖縄料理のようなものも食べれるお店のほうがいいですかね。,カスタマー: はい。できれば、そのほうがいいですね、いろいろつまめるみたいな、
オペレーター: そうしますと、ゴーヤチャンプルも食べれるしー、島豆腐も食べれるしー、もとぶ牛も食べれるしー、アグー豚も食べれるしー、やんばる若鶏も食べれ、たぶん全部は食べれないですけれども、,カスタマー: 食べきれるか分からないけど、でもこのお店いいですね。
オペレーター: なので、ここは夕ご飯にしてー、お昼は別の場所お調べしてみましょうか。,カスタマー: お願いします。
オペレーター: さっきの話だとソーキそばとかになりますがー、例えば夜はこういった和食ですのでー、お昼は洋食にするとか、あるいはもっと、,カスタマー: でも沖縄で洋食、あんまりピンとこないでソーキそばでいいかなあ。
オペレーター: たぶん長袖はみなさん着てるんじゃないかなと思うんですけど。,カスタマー: テイクアウトもありなんで、
オペレーター: 私共の方でご案内できるお店がですねー、例えばソーキそばの専門店のようなところがいいかー、あるいはー、ソーキそばとセットで、ほかのランペイとか、そういったこう定食のような感じになっているお店がいいかー、<>。,カスタマー: 定食のほうがいいかなー、
オペレーター: 今さっき申し上げましたようにタコスみたいな洋食もございますしー、こういう沖縄の伝統料理のようなものもございますしー、どうでしょう。,カスタマー: そうですね、そのパターンでいってみようかな。
オペレーター: では、先ほどのタコスの店はなしにしますか？,カスタマー: タコス、一応教えといていただけます。
オペレーター: まずタコスのお店が何度も申し上げまして申し訳ございませんが、タコス専門店タコヤ国際通り店でございますね。,カスタマー: はい。
オペレーター: そして、夕ご飯は美食ダイニングえん沖縄でお召し上がりいただくということでよろしいでしょうか？,カスタマー: OKです。
オペレーター: ではまず行き先から伺ってもよろしいですか？,カスタマー: 北海道に行きたいなーと思ってます。
オペレーター: ちなみに時期はいつごろでしょう？,カスタマー: 時期は夏ですね、
オペレーター: 夏の北海道ですね。,カスタマー: 夏の北海道一応行きたいなーと。
オペレーター: で、やりたいこと、例えばなんか、あったりしますか、具体的に。,カスタマー: 友人と行こうと思ってるんですよ、男2人で。
オペレーター: なるほど。,カスタマー: 北海道のワインて結構今、ブームっていうか人気が出てきてるなって話をちらっと聞いて、僕も好きなんで、グルメ観光と合わせながらワイン、ワインツーリズムなんてよくよく、最近聞くんですけど。
オペレーター: ワイン。,カスタマー: 言わばワイナリーをわってみたいなっていう、
オペレーター: ちょうどうん。,カスタマー: 行けるにはいいかなと、でーそうだなー。お昼、ランチと夜、夜やっぱジンギスカン有名じゃないですか。
オペレーター: ジンギスカンですか、,カスタマー: 札幌周辺で過ごしたいなと思ってるので、美味しいところを探してもらうことできますか？
オペレーター: ワイン。,カスタマー: 広ーい、やっぱおひ、北海道広いんで、自然を楽しめそうなところ、ちょっと抽象的かなぁ、あのー公園でもすごいでかそうなんで、そういう
オペレーター: 自然、,カスタマー: 地元の人が行くっていうか、楽しめそうな、アクティビティというか、それもできそうなところってありますかねー。
オペレーター: とか、,カスタマー: あとそうだなー。夏だからこそ北海道を楽しめそうなところってあります？ちょっと抽象的か、
オペレーター: 動物とかって、お好きですか？,カスタマー: あーいいですね、動物、動物ふれあいたいですね、
オペレーター: お客様、どのようなご旅行をお考えでしょうか？,カスタマー: 65歳以上の、両親とー、私の3人家族でー、北海道を、冬の北海道を、観光してみたいと考えています。
オペレーター: 北海道でですね、ご家族でー、どちらに行きたいですとかー、何かを見たいですとかー、そういったご要望はございますか？,カスタマー: 冬に行きますので、できれば、北海道の冬の自然をー、満喫できるようなところにー、一箇所は行ってみたいと考えています。ただー、ずっとその寒いところだとー、両親がたぶん高齢なのでー、体がこたえると思いますのでー、あったかい食べ物？北海道の温かい、その地の食べ物、をー食べて、体を温めたいなーとゆう風にも考えています。
オペレーター: どの辺りに行きたい、とか、ご要望はございますか？,カスタマー: 一点はー、流氷とかー、岬？襟裳岬とか<>、岬、自然を満喫してー、で、もう一箇所はー、冷えた体をー、温泉で温めたいなと思ったんですけどー
オペレーター: あとですね、なにかー、お客様の方でー,カスタマー: もしー、道内でー、温泉って、飲む、ことができる温泉も数少ないんですけど、ありまして、そういうところがあればー、今ご紹介いただいた温泉も、いいんですけどー、ちょっと、行ってみたいなって思いがあります。あとはー
オペレーター: 行ってみたいなって思いがあります。あとはー,カスタマー: 北海道、結構、何でも美味しいものがあるのでー、美味しいスイーツとかも、お土産で買いたいなってふうに思っていますー。
オペレーター: どーいった、どーゆー場所に行きたいとか、どーゆー感じの場所行きたいみたいな目的とかって、決まってます?,カスタマー: そーですね、エリアは決まってないんですけど。軍港をゆっくり眺めるみたいな。
オペレーター: なるほど、ぐん、軍港、例えば、どことかあります?何軍港とか。,カスタマー: 横須賀とかは、見て回るクルーズツアーみたいのがあるらしいんですけど。
オペレーター: はいはいはい。,カスタマー: そうですね、候補としては、多分、広島か佐世保になるのかな?残りは、その3つのどれかになるのかなーと、思ってるんですけれども。
オペレーター: ちなみに、どなたと行かれるみたいな感じですか?何人位で行くみたい。,カスタマー: そうですね、2人、友人と、
オペレーター: 兼ねていたとゆー場所、ちょっとこれは違いますよね。,カスタマー: 多分、日本で軍港って表現したのが悪かったんですけど、基地ですね。
オペレーター: こーゆーのは、ちょっとズレますよね。,カスタマー: でも、周辺を色々見るって感じでいいので。
オペレーター: 呉周辺で、例えばお食事処だったりを探すとか、別の方向にシフトしても大丈夫ですけど。,カスタマー: そうですね、呉周辺で。そうですね、さっきの公園で、食べたいので。
オペレーター: なる。,カスタマー: テイクアウトのお店を。
オペレーター: 出て来ないかな、少々お待ちください。,カスタマー: まなかったら、普通にランチとかで。
オペレーター: 特に、まだ、決まってないんですか,カスタマー: <>はい、土日かなーって感じです。
オペレーター: よろしくお願いします、ご利用ありがとうございます、今回は、ご旅行、どのような感じで考えてらっしゃいますか？,カスタマー: 大阪なんですけど<>、家族4人で、観光したいと思っているんで。
オペレーター: 季節とかなにかご希望ございますか？,カスタマー: 冬を考えてます。
オペレーター: じゃああまり指定はしないで、あとなにか、したいこととかってありますかね？,カスタマー: 本当はユニバーサルスタジオに行きたいんですけどー、<>のあと時間がもうどっかり取られちゃうんでー、
オペレーター: 一応、遊ぶとか見るとかっていうのでー選択ができるんですけれどもー、一応、<>。,カスタマー: そうですね、はじめて行くので、中心部に行ってみたくってー、心斎橋っていうんでしたっけ、とか通天閣とか、ああいうとこは行ってみたいです。
オペレーター: その他、もうそろそろお昼とかになると思うんですけど、お昼とかー何か召し上がりたいものとかありますか？,カスタマー: 大阪らしいものっていうことで、<>たこ焼き、とか、な。
オペレーター: <>出てきてるんですけれどもー、一応、ミナミのベイエリアっていうところが、この通天閣の近くなんですけれども、和食であったり洋食であったり、何かありますか、ご指定は。,カスタマー: たこ焼きとかそういう、
オペレーター: お店に入って食べたほうがいいですか、それとも外で食べたほうがいいですかね。,カスタマー: 外で、食べるのもいいですね。
オペレーター: いろいろあるんですが、和食と洋食どちらがいいですか？,カスタマー: じゃあ、和食でー。
オペレーター: 早速ですけども、ご旅行の、具体的な、日取りや場所など、教えていただいてもよろしいでしょうか？,カスタマー: ちょうど来週ぐらいかな、休みがとれそうなので、この時期行ってみたいなという、行ってもいいかなという感じがしてます。
オペレーター: で具体的ななにかしたいとかはありますか？,カスタマー: 仕事であちこちは行ってるんですけども、結構今時ってどこでも同じような、例えば九州行ったって北海道料理とかですね、逆も、九州行っても、北海道行っても九州料理みたいなのがあって、どこでも一緒かなぁというのが多いんですけど、そんな中で、やっぱりその土地ならではの、こう名物料理で、美味しいものがあったら食べてみたいなぁと思うんで、おすすめのところがあったら行ってみたいなーって感じはするんですけど。
オペレーター: ごめんなさい。そちらは、人数などって決まってらっしゃいますか？,カスタマー: 1人でぶらっと行ってみようかなと思っています。
オペレーター: もありますし、エリアを多少絞りたいので、ち、地方を。,カスタマー: だと、今やっぱり寒いので、少し暖かいところがいいかなという気はしますけど。
オペレーター: 暖かい方。,カスタマー: より寒いところ行くというよりは、暖かい方がいいかなって感じはするんですけど。
オペレーター: 和風な方がいいですよね、和風な方が。,カスタマー: いやそんなこともないんだけど、特徴、せっかく行くんだ、九州まで行くんだったら、思い出に残るようなところに行ってみたいなと思って。
オペレーター: 本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行をお考えでしょうか？,カスタマー: 友達と二人で、関西の方に行きたいと思ってるんですけど。
オペレーター: いつ頃の予定でございますか？,カスタマー: そうですねー、4月ぐらいで考えてます。
オペレーター: そういったご要望はございますか？,カスタマー: 関西なので。すごい食べ歩きとかー、できたらいいなーと思ってるんですけど。
オペレーター: 食べたいもので、何かこれは食べたいですとかー、そういったご要望はございますか？和食がいいですとか。,カスタマー: 食べ歩きできるようなイメージでー、例えば。なんだろうな。串カツ？串カツとか、たこ焼きとか、そういうお好み焼きとか、そういう系のもの？が食べたいなーと思ってるんですけど。
オペレーター: うんうん。,カスタマー: でもせっかくなら夜景見たいかなって思いました。
オペレーター: そういったご要望はございますか？,カスタマー: 買いたいもの。お土産とかですかね？
オペレーター: ええ、ええ。はい。,カスタマー: 大阪の、グリコの、グリコの場所というか、あの有名な場所あるじゃないですか。
オペレーター: ええ、ええ、ええ、ええ。,カスタマー: あの辺、あの辺って、なんかあるのかなって思ったんですけど。
オペレーター: フフ、すごい楽しみですね。,カスタマー: 甘いもの？
オペレーター: 甘味処みたいな。,カスタマー: そういうのも知りたいです。
オペレーター: あとなにか、お客様のほうで、何かご要望はございますか？,カスタマー: 今のプランで満足です。
オペレーター: 今回はどのようなご旅行をご希望ですか？,カスタマー: 友達と2人で、旅行に行こうと思ってて、でー、あ静岡県に行きたいんですけど。
オペレーター: 静岡はどこか、こことかありますか？,カスタマー: そうですね、特に、行き先とかを、地方とかを決めてないんですけど。静岡なので、電車で旅行しようかなと思ってて。景色のいいところに、を見に行きたいなと思ってて。
オペレーター: どちらの方がいいですか？,カスタマー: そうですねー、まずとりあえず海がみたいので、伊豆とかの方かなー。伊豆じゃないですね、そういうそっちの海の方が見たいかなと思いますね、
オペレーター: 季節は今回はいつ、春で、すね。,カスタマー: そうですね、これから暖かくなったら行こうかなと思ってるんで。
オペレーター: それ以外では神社とかはお好きですか？,カスタマー: そうですね、神社好きですねー。
オペレーター: お食事とかはいかがいたしますか？,カスタマー: そうですね、せっかく海沿いにいるんで、魚関連の何かが食べれたらいいかなと思うんですけど。
オペレーター: お刺身とかはお好きですか？,カスタマー: そうですね、お刺身大丈夫です、
オペレーター: 金目、のこのじ、地元で捕れる金目鯛はブランド魚って書いてますね。,カスタマー: じゃあ、奮発して、たの旅行なんで、そういうところで、金目のしゃぶしゃぶはすごい美味しそうなんで。そこでお昼食べようかなって思うんですが、
オペレーター: そうですねこの、金目鯛特にすごく脂が乗っていて、お刺身とかあと漁師煮、浜焼き、唐揚げすごい色々も、メニューがあるみたいなんで、楽しんでいただけると思います。,カスタマー: そうですね、そう、やっぱお刺身だけだとね、寂しいので、色々食べれた方がいいかなと。
オペレーター: あとお土産とかいかがでしょうか？,カスタマー: そうですねー、お土産ー、家に親とかに買っていきたいんですけど、ぎょ、ぎょー、魚の加工品とかそういうものを扱っているところって近くにありますかね？
オペレーター: あとはなにかご質問と他になにかやってみたいなとかございますか？,カスタマー: そうですねー、海の方見たんで、海じゃないや、山とかそういう景色がいいところがあれば教えていただきたいんですけど。
オペレーター: 山がいいですか？,カスタマー: そうですね、山の方であれば、例えば湖とかダムとかそういう緑の風景が見れたらいいかなと思うんですけど。
オペレーター: あとはなにかご質問とか行きたい場所、欲しいものとかございますか？,カスタマー: そうですね、お土産とかももう買ったので、もう1箇所見に行くか、あとは夕飯の場所もちょっと考えときたいかなと思うんですけど。
オペレーター: 何がいいですかね、和食か洋食かとかありますか？,カスタマー: そうですねー、お昼和食というかお魚だったので、ー、和洋どっちでもいいんですけど、おに、お肉が食べられるようなお店を教えていただきたいと思いす。
オペレーター: 夜は17時から21時までやっていますが、夜は要予約なのでご注意ください。,カスタマー: 予約、ガッツリ、ステーキとかハンバーグみたいなお店がもしあったら、教えていただきたいんですけど。
オペレーター: 少々お待ちください。,カスタマー: バーベキュー的なものでも、いいんですけどそういうのがあったらいいかなーって今思ってます。
オペレーター: 今回ご旅行はー、どちらの方面とかーをご希望されていらっしゃいますか？,カスタマー: 大阪の方で、ちょっと考えておりまして。
オペレーター: 大阪ですと、何人ぐらいのかたで回られる予定でございますか？,カスタマー: 今二人で、友人と二人で、
オペレーター: 特に大阪でー見たいものとかってありますか？,カスタマー: お笑いーの多分劇場とかそーゆうのあると思うんですけど、そーゆうの、とかー。あとは大阪らしい物なんか食べたいなとか、あはは、考えてす、
オペレーター: 演芸みたいな形でよろしいですかね。,カスタマー: お笑いー、だったら。
オペレーター: 他に何かご覧になりたいものとか、ありますか？,カスタマー: 見たいもの、は、そんなに、ない、
オペレーター: では何か歩き、歩きながら。,カスタマー: 食べ歩きとかー、たこ焼き食べた、美味しいたこ焼き屋さんとか。
オペレーター: こちらも、中で食べる事も外で食べる事も出来そうな感じのとこなんですけれども。,カスタマー: 何か出来ればイートイン出来る、寒そうなんで時期的に。
オペレーター: そうですね。,カスタマー: な、なのでさ、よ、中で食べれるような所があれば、いいなってゆう思いで。
オペレーター: お店の中でも食べられまして、当然お持ち帰りも出来るんですけれども、このお店はいかがでしょうか。,カスタマー: そこで、是非お願いしたいでーす。
オペレーター: 串カツとかご興味ありますか？,カスタマー: なんか大阪らしい食べ物食べたいと思ってて、やぱ関東なので、すごい、そーゆうなんか、大阪らしい食べ物食べたいなってゆう。
オペレーター: 一応今道頓堀で検索かけたんですけれども、新世界の方で変えてみますね。,カスタマー: 良かった新世界で、
オペレーター: 煮込み料理とかがあるのはーいっとくっていう、串カツいっとくってとこ、お写真では煮込み料理みたいなものも、一緒に出てまいります。,カスタマー: なるほど、土手焼きとかも食べたいなって思うんで。だったら煮込みとか、あったほうがいいですもんね、
オペレーター: いろんなものが、あるので,カスタマー: 串カツだけじゃなくて、いろんなものが食べたいね。
オペレーター: 手作りソースもフルーティーであっさりしているって事で女性になんか人気があるようですね。,カスタマー: 行ってみたいです、
オペレーター: お好み、お好み焼きじゃなくて、え、たこ焼きを食べてー、串カツを食べて、今いっぱい食べてきてるんですけれども。,カスタマー: うふふ、観光したい、観光、
オペレーター: お好み焼きとかはいかがですか？,カスタマー: 夜にホテルで高いディ、いい感じのディナーとかを食べたいなって思っててー。
オペレーター: じゃあ新世界で、見られるものとかを探してみますね、,カスタマー: 観光とかショッピングしたいなみたいな。
オペレーター: と、,カスタマー: あ、ちょっと記念に登ってみたいです、
オペレーター: とー、なか。,カスタマー: あとは散策、さっきみたいに、さっきおっしゃっていただいてたちょっとあの辺、ぷらぷらしようかなーって思って。
オペレーター: 特にいろんなお店が沢山ありますので見て回る事は本当にか、簡単に、出来ると思いますので、よろしいんじゃないかと思われます。,カスタマー: じゃそれで、そんな感じで行きたいです、
オペレーター: いろいろ食べ歩きされているんですけれども、では夕飯とかーいかがいたしますか？,カスタマー: 夕飯は友達が誕生日なので、あのー、ホテルの、お祝いしたいなって思ってるんですけど。ホテルのディナーみたいな感じでなんか、はい。
オペレーター: ホテル―ですと、何料理がいいですか？,カスタマー: 何がいいかな、イタリアンとか、えへへへへ。
オペレーター: ホテルの中がよろしいんですよね。,カスタマー: 景色がいいとこがいいなって思ってます、
オペレーター: もうお食事決めてはしまったんですけれども、甘いもの屋さんとか、スイーツとか、にお立ちよりするっていう、のことは、歩いてる時に、お店、選んでみたいとありますか？,カスタマー: 可愛いカフェとかちょっと行きたいなとか、流行ってる、韓国系のカフェとか。よく鶴橋とか聞くんですけど、大阪の。
オペレーター: 甘味処。,カスタマー: 甘味、いや、ケーキとかがいいです。
オペレーター: 東京の新大久保に、お店がある、みたいで、それに次ぐ二店目ていうふうには書かれているんですけれども。,カスタマー: できれば、大阪にあるー、ないのがいいかなーみたいな思うんですけど。
オペレーター: 本日はご利用いただきましてありがとうございます。お客様、どのようなご旅行をご希望でしょうか？,カスタマー: 春に伊豆旅行に行きたいなと考えてます。
オペレーター: かしこまりました。お客様、何名様のご旅行の予定ですか？,カスタマー: 妹と二人で行きたいです。
オペレーター: お待たせいたしました。お客様伊豆の方で。,カスタマー: 海を見たいっていうのと。春なので桜とか綺麗なところがあれば一緒に見たいなと思います。
オペレーター: そういったご希望はございますか？,カスタマー: 妹が結構生き物が好きなので。
オペレーター: が有名なんですけど、お好きでしょうか？,カスタマー: 海鮮丼食べたいなーって今思いました。
オペレーター: あとお客様他に何か食べてみたいですとか何か見てみたいですとかそういったご要望はございますか？,カスタマー: スイーツとか。おしゃれなスイーツとかカフェとかが
オペレーター: こういったものもございますけれども、ご興味ございますか？,カスタマー: 海産物が色々見れるお店とかがあったら。
オペレーター: では、場所はどの辺に行きたいとかってー、もう決まって、いらっしゃいますか？,カスタマー: 四国地方のほうに、行ってみたいなーと思ってるんですけどー。
オペレーター: ちなみに季節とかー、どういった方と行くとかってー、もう決まってらっしゃいますか？,カスタマー: もうすぐ春休みなんでー、その春休みになったら両親と行こうかなっと思ってるんですけど。
オペレーター: ご要望とかってあります？、ちょっと古風なところがいいとか。,カスタマー: 雰囲気…、古風…ふる、古めのって言うのも変ですけど。
オペレーター: 歴史を感じるような…感じの所ですかね？,カスタマー: そういう感じのところが、いいです。
オペレーター: 他の県のも調べてみますか？,カスタマー: でも香川県ならちょうど、おうどん食べたいなって思っていたので、いいなーと思って。
オペレーター: 例えば自然スポットだったりとかー、他になんか行きたい場所だったりとかってー、あったりしますか？,カスタマー: 私、歴史系のところ、見るのが結構好きなんでー。
オペレーター: なるほど。<>,カスタマー: 四国とかだとー、あれですよね、土佐藩とか。高知とかなんでー、そういうところ一箇所ぐらい見れたらなーと思うんですけどー。
オペレーター: 一応、もう少々、ご紹介いたしましょうか？,カスタマー: でも今度夕飯とかのほうをどうしよっかなと思って。
オペレーター: 少々お待ちください。,カスタマー: なんか夕飯…夕飯を<>
オペレーター: 夜はどんなものが食べたいとかってご希望はございますか？,カスタマー: どんなもの？両親もせっかくいるので、豪華な…豪華なっていうのあれですけど、ものが食べたいかなと思うんですけどー。
オペレーター: 豪華なもの。和食がいいとか、洋食の方がいいとかってございますか？,カスタマー: でも、お昼が和食だったので、夜は洋食で食べてみたいかな<>、
オペレーター: ほか何かしたいとかーってございますか？例えばお買い物でしたりとかー,カスタマー: なんかお土産を買っておきたいなって思うんですけどー。
オペレーター: じゃお土産が買える場所を近くで調べさせていただきます。,カスタマー: できれば、食べ物系より、物の方が、残るようなものの方がいいかなって思うんですけど。
