オペレーター: はい。あげておきますね。はい。あとですね、お客様、あのー、体験といったところで。, カスタマー: はい。例えばなんですけど、京都の舞妓さんみたいな格好をしてー、あの、写真を撮るとか、そういったことはご興味ございますか？
オペレーター: はい、でえーっとメニューが、じゃっぱ汁というあの青森の郷土料理がありまして、あと貝を焼いた料理ですね、はい、そういったお店も、はいございますけれども、はい、ご興味ありますか？, カスタマー: あ、はいそうですね、なんかゆっくり、<>ゆっくりできる、できそうなところではあるので、はい。
オペレーター: はいあの9月中旬から11月の上旬までおこな、行われておりますのではいもしご興味がございましたらこういったところもございますけれども。, カスタマー: いいですね。リンゴがすごい好きだし、青森も。
オペレーター: ほんと、普通に、えーと、和食の、なんか、定食屋さんみたいなところでしたりとか、ございますね。, カスタマー: お鍋って、どんな感じのお鍋のお店が、多いんですかね？
オペレーター: はい, カスタマー: あのー、お土産も買えて、今度は昼食も、あのー、いろんな、まー、お店が<>あって、選択肢も、多いですね、はい。
オペレーター: そうですね。, カスタマー: バスがあればね。
オペレーター: うん、あはい。, カスタマー: 観光する感じなんですかね、なんか有名な。
オペレーター: まあ、どうだろうな。, カスタマー: いや多分4月って書いてあるから5月からに。
オペレーター: ええ、ええ。, カスタマー: でー、ちょっとこー、スポットなん<>絞ってー、まわりたいか<>ってます。
オペレーター: あのご家族でのお夕飯にはよいのかなという風には思います。, カスタマー: ではちょっとビュッフェでどこかよい店があったらちょっと探していただきたいんですけども、お願いしてもよろしいですか。
オペレーター: んーと、その、えーと、五島列島で、えーと、ほかに、はい。, カスタマー: <>そうですね、なんか観光地でなんか代表的なところ、ごめんなさい、全然分かんなくて、五島列島って、前なんか以前見てすごい綺麗だなあと思って行ってみたいなあと思ったんですけど、なんかここは行っとけっていうか、王道というか、なんかります？
オペレーター: 仙台朝市に行かれまして、そのあとで、ブランチのような感じで、えー、牡蠣の、えー、センカイフウドさんに行きましてー、で、地底の森ミュージアムに行かれまして、鯛焼き屋さんの鯛きちさんですね。そして、ずんだ餅の玉澤総本店、晴れの菓店。で、最後に、おばんざいらくらさんで、ご夕食をお召し上がりになるという。はい、グルメ旅行となりますが、よろしいでしょうか？, カスタマー: はい。ふふふ。
オペレーター: あ、はい、承知しました。特にあの、沖縄でこう、し、やりたいなっていうこととかってありますか。, カスタマー: そうですね。まだちょっとあの、イメージ掴めてないんですけれど。
オペレーター: 夜にですね、コース料理を召し上がりたいとのことでしたらー、あのー、予約された方がよろしいかと思います。, カスタマー: はい、あのー、今そうしたいんですけど、コースはおいくらからありますでしょうか？
オペレーター: こちらはー、いかがですかね？, カスタマー: <>、店舗によってっていうのは、あのー、いくつかあるんですか？
オペレーター: <>、スーッ。, カスタマー: なんか陶芸…、沖縄陶芸ってー、あれですか、出て来ないですかね。
オペレーター: あと例えば、なんかチーズケーキですとか、焼き菓子。, カスタマー: あ、でもチーズケーキ、も、日持ちするかな？その、持って帰って。
オペレーター: 新鮮な地元の野菜を使った料理。, カスタマー: あーそれの方がいいかな。
オペレーター: うん。, カスタマー: あのーまあその温泉、まあその富山に関してはその温泉のちょっと変わったところを。
オペレーター: 蛇はあんまり, カスタマー: そうですねー、はい、苦手ではないですけど、あんまりなんかお金とか時間払って<>
オペレーター: ええ、ええ、ええ、ええ, カスタマー: 特に母親は、あの、すごく喜ぶと思います。
オペレーター: はい。, カスタマー: ちょっと有名な地酒みたいな、なんか。
オペレーター: はい。, カスタマー: 和歌山城って、あの辺りは、ん、ん、どなたが、おす、だ、誰、な、藩主、フフフ。
オペレーター: いかがでしょうか。, カスタマー: 両方いいと思うんですけど、えっとーちょっと。
オペレーター: これちなみに、まあお一人で食べ歩きでしたっけ。, カスタマー: まあ、そうですね。それに関してはー、はい、食べ歩きというか。
オペレーター: はい。あの、お、お酒。ワインですね。, カスタマー: あ、ワイン、ワイナリーね。ワインのほうが良いか。ワインとか、え、日本酒とかあるの？
オペレーター: ちょっとあのー、近くで、温泉がないかちょっと探してみますか？, カスタマー: あ、そうね。温泉、というか、前。
オペレーター: こういったところはご興味ありますか？, カスタマー: ぜひぜひ行ってみたいです。
オペレーター: かしこまりました、では何名様でのご旅行となりますか？, カスタマー: あ、4名となります。
オペレーター: はい、えーとー、まあ、買って表を歩きながら食べながら歩くっていうんであればー、あっちっち本店や、えー、この甲賀流本店とかはどうなのかな、ここは、うーん、ちょっとあれなんですけど、お店の外装が出てないで、ちょっと分かりにくいんですけれどもー、表で食べられそうなのは、あっちっち本店道頓堀店がー、なんか店の前で売ってそうなんですけれどもー。, カスタマー: はい、あ、じゃあ、そのあっちっち本店でお願いします。
オペレーター: ええ。, カスタマー: 分かりました。あのー、やっぱり、どうしても小さいお子さまが。
オペレーター: そうですね、このはじめのしかちょっとあと釣り堀みたいなところ。, カスタマー: あはは。はい、魚を釣って食べるとか、そういうのしかなくって。
オペレーター: はい。はい。, カスタマー: なんかどっかの、なんかあるって、み、見た、か、500円かなんかで、たしか。
オペレーター: では、どちらへご旅行なさいますか？, カスタマー: そうですね、あのー、ざっくりしか決めてないんですけどー。
オペレーター: はい、じゃ、ちょっと、ここも。, カスタマー: はい、なんか、候補に入れておいてもらえると、嬉しいかなと思います。
オペレーター: イクラ丼ほどではないんですけれども。, カスタマー: あ、じゃー、昼間、イクラ丼を食べてー、よ、夜はちょっと別のもの食べたいんですけどー、なにかオススメってありますか？北海道で。
オペレーター: そうです、なんかお寺の方が良いとかー神社の方が良いとかってございますかー？, カスタマー: なんかー、なんて言うんですか、写真映えするスポットじゃないですけどなんかそういう感じのとこってーありますか？
オペレーター: ええ、ええ, カスタマー: 私もあのー、ただ自然とだけだってゆー、だけだと漠然としすぎてるなってふうに思ったのでー、えっとー
オペレーター: はい。こちらもあのよろしければはいオススメしたいんですけれどもいかがですか？, カスタマー: いいですね。湖とかってボートとか出てたりしないんですか？
オペレーター: はい。, カスタマー: えっと、今、ちょっとわりと仙台駅の、なんとなく近場が多いような気がしたので。
オペレーター: 結構そのー建物なんかもすごい…はい。, カスタマー: あ、<>行ってみたいです。
オペレーター: はい, カスタマー: 高松城ってゆうと、どこでしたっけ？
オペレーター: えーと、大間のマグロですよね。, カスタマー: いや、あの別に、こ、拘らずで、まああの、なんか美味しい、そういう海のもの食べれるところが行ってみたいなあという気はしますけど。
オペレーター: あのー、フルーツ狩りですと、例えば、あのーいろいろあるんですけど、な、何を、な、どういったフルーツが、あの食べてみたいとか、あのありますか？はい。, カスタマー: そうですね、今までやったことあるのが。
オペレーター: 温泉は―好きですか？, カスタマー: なんか、札幌の方でも―、ちょっと温泉ー、近くとかで、い、日帰りとかでなんか、バスぐらい、バスとかなんかタクシーとか使って、いけたらいいなーって思ってるんですけど。
オペレーター: はい。ですね。あと何か買いたいものとかご要望はございますか？, カスタマー: そうですね。土産で、なんだろう。
オペレーター: えーと、ではー…、他～、もうちょっと、史跡、なんか紹介した方がよろしいでしょうか。, カスタマー: まあ、もしー、午前中、そういうの見ると、しったらー、どっ…かで食事とかも考えないけまそんで、そ、そういうーこと、お尋ねしてもよろしいですか。
オペレーター: ですので、そういった意味でもお子様のとてもいい思い出になるかなと思いまして、おすすめしております。, カスタマー: なるほど。ちなみにそこ以外スポット他にも挙げていただけると、いくつか挙げていただけると助かります。
オペレーター: ええ, カスタマー: なんかその秘伝の何とかっていう感じで
オペレーター: そうですね、その辺かー、ソーキそばになるんですけれどもー。, カスタマー: まあそのー、二つを教えていただけます？おすすめの店とか。
オペレーター: あと、お客様はお酒はお楽しみになりますか？, カスタマー: あ、大酒のみじゃないんですけど、ちょっとたしなむぐらいは飲むんで
オペレーター: あの、歴史館と工場がセットになってるツアーがあって、あのー、ま、ちょっと時間が1時間ぐらいで、見られますので、あの、いかがですかー？, カスタマー: そこにしまい、したいと思いま、はい。
オペレーター: ええ、ちょっとですのでずれてしまいますので、やはり長崎市内がいいですかね。, カスタマー: そうですね。移動の負担結構考えるとそうですね。
オペレーター: で、お休みもありません。, カスタマー: あ、うんうんうんうん、あ、全然いいですね、いつでも、あは、行けそうな感じで。
オペレーター: うーん。, カスタマー: まあなんかもう1店舗、こう2店舗なんか候補じゃないですけど。
オペレーター: 神社とかよりは、あの、もうちょっとこう、公園みたいなところの方がよろしいでしょうか？, カスタマー: あ、そうですね、あのでも、子供といっても、もう大学生と中学生なので。
オペレーター: で、もし、あのー、貸切風呂っていう形にするのであればー、お一人880円ですね。, カスタマー: 分かりました、そうだな、あとねー、えっと、佐賀とお伝えしたと思うんですけど、なんかね、ちゃんぽんが有名な、まあねえ、長崎はちゃんぽん<>、佐賀でなんかすごいちゃんぽんが美味しいところがあるって聞いたことあんですけど、なんか<>あります？
オペレーター: とか、さっきのとー、えーとー…、今のと、なんかどちらか、が良いとか。, カスタマー: どん亭とまんじゅまい、がどっちかってことですね？
オペレーター: 体験ダイビングプログラムあるみたいです。, カスタマー: 行きたいです。うんうんうんうん。
オペレーター: あるいは、札幌の方で夕ご飯をとられるほうで、お調べするか、いかがいたしましょうか？, カスタマー: うーん、ちょっと難しいですよね、当日の気分によってって感じなんでー。
オペレーター: はい, カスタマー: とー、私の家族が結構みんなラーメンが好きなんですけどー